rating,playback_used,ebird_code,channels,date,pitch,duration,filename,speed,species,number_of_notes,title,secondary_labels,bird_seen,sci_name,location,latitude,sampling_rate,type,elevation,description,bitrate_of_mp3,file_type,volume,background,xc_id,url,country,author,primary_label,longitude,length,time,recordist,license,sample,label
4.5,no,astfly,2 (stereo),2019-07-31,Not specified,306,XC494351.mp3,Not specified,Ash-throated Flycatcher,Not specified,XC494351 Ash-throated Flycatcher (Myiarchus cinerascens),"['Pipilo maculatus_Spotted Towhee', 'Contopus sordidulus_Western Wood-Pewee', 'Polioptila caerulea_Blue-gray Gnatcatcher']",yes,Myiarchus cinerascens," Payson, Gila County, Arizona",33.9261,44100 (Hz),"begging call, call",1800 m,"Sound Devices MixPre-3 Wildtronics Model #WTPMMSA 22” Parabolic Reflector, phoenixbirder@gmail.com",192000 (bps),mp3,Not specified,Spotted Towhee (Pipilo maculatus); Western Wood Pewee (Contopus sordidulus); Blue-grey Gnatcatcher (Polioptila caerulea),494351,https://www.xeno-canto.org/494351,United States,Phoenix Birder,Myiarchus cinerascens_Ash-throated Flycatcher,-111.3995,Not specified,18:28,Phoenix Birder,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,astfly/XC494351.npy,6
3.0,no,brnthr,2 (stereo),2015-04-24,Not specified,75,XC383951.mp3,Not specified,Brown Thrasher,Not specified,XC383951 Brown Thrasher (Toxostoma rufum),[],yes,Toxostoma rufum," Riviera Rd, backyard",38.0266,44100 (Hz),song,320 m,"Editing: High-pass filter, cutoff frequency 1kHz, some amplification.

Equipment: Olympus WS-822 digital recorder with Audio-technica ATR 6550 shotgun.",128000 (bps),mp3,Not specified,,383951,https://www.xeno-canto.org/383951,United States,Antonio Xeira,Toxostoma rufum_Brown Thrasher,-84.3217,Not specified,09:00,Antonio Xeira,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,brnthr/XC383951.npy,18
2.5,,moudov,1 (mono),2007-04-10,both,17,XC16936.mp3,level,Mourning Dove,4-6,XC16936 Mourning Dove (Zenaida macroura),"['Passer domesticus_House Sparrow', 'Larus delawarensis_Ring-billed Gull', 'Thryothorus ludovicianus_Carolina Wren', 'Molothrus ater_Brown-headed Cowbird']",,Zenaida macroura," Michigan, South Rockwood",42.06393,44100 (Hz),Song,180 m,,91846 (bps),mp3,both,House Sparrow (Passer domesticus); Ring-billed Gull (Larus delawarensis); Carolina Wren (Thryothorus ludovicianus); Brown-headed Cowbird (Molothrus ater),16936,https://www.xeno-canto.org/16936,United States,Allen T. Chartier,Zenaida macroura_Mourning Dove,-83.26104,0-3(s),?,Allen T. Chartier,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,moudov/XC16936.npy,62
3.0,no,rebwoo,1 (mono),2010-10-10,level,35,XC161030.mp3,level,Red-bellied Woodpecker,1-3,XC161030 Red-bellied Woodpecker (Melanerpes carolinus),[],no,Melanerpes carolinus," Rockefeller State Park Preserve, Sleepy Hollow, New York",41.1088,44100 (Hz),call,? m,,128000 (bps),mp3,level,,161030,https://www.xeno-canto.org/161030,United States,Daniel Parker,Melanerpes carolinus_Red-bellied Woodpecker,-73.8388,0-3(s),15:30,Daniel Parker,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,rebwoo/XC161030.npy,73
3.0,no,yebfly,2 (stereo),2014-02-14,Not specified,104,XC167857.mp3,Not specified,Yellow-bellied Flycatcher,Not specified,XC167857 Yellow-bellied Flycatcher (Empidonax flaviventris),[],yes,Empidonax flaviventris," Ecoparque El Espino, Santa Tecla, La Libertad",13.7012,48000 (Hz),call,1100 m,,160000 (bps),mp3,Not specified,,167857,https://www.xeno-canto.org/167857,El Salvador,Melvin Bonilla,Empidonax flaviventris_Yellow-bellied Flycatcher,-89.2781,Not specified,08:46,Melvin Bonilla,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,yebfly/XC167857.npy,98
3.0,no,veery,2 (stereo),2013-05-27,decreasing,78,XC135442.mp3,level,Veery,1-3,XC135442 Veery (Catharus fuscescens),[],no,Catharus fuscescens," Bashakill, Sullivan, New York",41.5772,44100 (Hz),call,? m,,128000 (bps),mp3,level,,135442,https://www.xeno-canto.org/135442,United States,Daniel Parker,Catharus fuscescens_Veery,-74.4844,0-3(s),16:20,Daniel Parker,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,veery/XC135442.npy,87
3.0,no,vesspa,1 (mono),2013-05-27,Not specified,33,XC135223.mp3,Not specified,Vesper Sparrow,Not specified,XC135223 Vesper Sparrow (Pooecetes gramineus),[],yes,Pooecetes gramineus," Fairmont RV Park, Silver Bow County, Montana",46.0422,44100 (Hz),"call, song",1600 m,"Male singing from fence post.  Around 23 secs, female joined male on adjacent barbed wire and called starting at 27 secs.",80000 (bps),mp3,Not specified,,135223,https://www.xeno-canto.org/135223,United States,Garrett MacDonald,Pooecetes gramineus_Vesper Sparrow,-112.8049,Not specified,16:42,Garrett MacDonald,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,vesspa/XC135223.npy,88
2.5,no,yebfly,2 (stereo),2013-05-08,Not specified,15,XC185734.mp3,Not specified,Yellow-bellied Flycatcher,Not specified,XC185734 Yellow-bellied Flycatcher (Empidonax flaviventris),['Psarocolius wagleri_Chestnut-headed Oropendola'],no,Empidonax flaviventris," Reserva de Vida Silvestre El Armado, Olancho",14.8951,44100 (Hz),call,1900 m,,192000 (bps),mp3,Not specified,Chestnut-headed Oropendola (Psarocolius wagleri),185734,https://www.xeno-canto.org/185734,Honduras,Carlos Funes,Empidonax flaviventris_Yellow-bellied Flycatcher,-86.8155,Not specified,14:00,Carlos Funes,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,yebfly/XC185734.npy,98
3.5,no,brespa,2 (stereo),2013-03-13,Not specified,19,XC289173.mp3,Not specified,Brewer's Sparrow,Not specified,XC289173 Brewer's Sparrow (Spizella breweri),['Zonotrichia leucophrys_White-crowned Sparrow'],yes,Spizella breweri," Armenta Well Rd., Organ Pipe Cactus National Monument, Pima County, Arizona",32.192,44100 (Hz),"male, song",500 m,"Birds recorded during an officially-permitted AZGFD Sonoran Desert breeding bird survey at this location. Habitat is xeroriparian wash dominated by honey mesquite (Prosopis glandulosa), catclaw acacia (Acacia greggii), and dense thickets of weed species, with surrounding desert surrounded by creosote (Larrea tridentata). Amplification, low and high pass filters used in Audacity. Same birds as XC289177.",128000 (bps),mp3,Not specified,White-crowned Sparrow (Zonotrichia leucophrys),289173,https://www.xeno-canto.org/289173,United States,Eric Hough,Spizella breweri_Brewer's Sparrow,-112.8264,Not specified,07:30,Eric Hough,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,brespa/XC289173.npy,17
3.0,no,gnttow,2 (stereo),2015-05-09,Not specified,23,XC396420.mp3,Not specified,Green-tailed Towhee,Not specified,XC396420 Green-tailed Towhee (Pipilo chlorurus),[],no,Pipilo chlorurus," Vail, Pima County, Arizona",31.8213,44100 (Hz),song,1300 m,Recording not altered.  Did not see the bird but GTTO were in the area as well as Canyon Towhee which I considered as well.  Fairly certain this is a GTTO.  Habitat is riparian wash in desert grassland.,320000 (bps),mp3,Not specified,,396420,https://www.xeno-canto.org/396420,United States,Janine McCabe,Pipilo chlorurus_Green-tailed Towhee,-110.5884,Not specified,06:00,Janine McCabe,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,gnttow/XC396420.npy,42
2.5,no,evegro,2 (stereo),2016-02-15,Not specified,15,XC303572.mp3,Not specified,Evening Grosbeak,Not specified,XC303572 Evening Grosbeak (Hesperiphona vespertina),['Haemorhous mexicanus_House Finch'],yes,Hesperiphona vespertina," Sycamore Ln & Antelope (SB) (near  Davis), Yolo County, California",38.5645,48000 (Hz),call,10 m,"male, Type 1",128000 (bps),mp3,Not specified,House Finch (Haemorhous mexicanus),303572,https://www.xeno-canto.org/303572,United States,Jim Holmes,Coccothraustes vespertinus_Evening Grosbeak,-121.7653,Not specified,10:30,Jim Holmes,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,evegro/XC303572.npy,39
2.5,,moudov,1 (mono),2008-05-29,both,63,XC31136.mp3,level,Mourning Dove,4-6,XC31136 Mourning Dove (Zenaida macroura),"['Haemorhous mexicanus_House Finch', 'Spizella passerina_Chipping Sparrow', 'Turdus migratorius_American Robin']",,Zenaida macroura," Michigan, St. Clair County ",43.1256,48000 (Hz),Song,250 m,,102899 (bps),mp3,level,House Finch (Haemorhous mexicanus); Chipping Sparrow (Spizella passerina); American Robin (Turdus migratorius),31136,https://www.xeno-canto.org/31136,United States,Allen T. Chartier,Zenaida macroura_Mourning Dove,-82.6098,0-3(s),?,Allen T. Chartier,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,moudov/XC31136.npy,62
3.0,no,rocpig,2 (stereo),2016-12-25,Not specified,25,XC347881.mp3,Not specified,Rock Dove,Not specified,XC347881 Rock Dove (Columba livia),[],yes,Columba livia," Fiume Entella, Lavagna (GE)",44.3137,44100 (Hz),wing beat; cooing,10 m,At least 130 individuals of Columba livia var.domestica were flying and cooing around me.,320000 (bps),mp3,Not specified,,347881,https://www.xeno-canto.org/347881,Italy,Andrea Simoncini,Columba livia_Rock Pigeon,9.3397,Not specified,10:00,Andrea Simoncini,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,rocpig/XC347881.npy,78
3.0,,hamfly,1 (mono),1995-07-04,both,22,XC124842.mp3,level,Hammond's Flycatcher,1-3,XC124842 Hammond's Flycatcher (Empidonax hammondii),[],,Empidonax hammondii," Merced Grove, near Crane Flat, Yosemite NP, California",37.7634,44100 (Hz),song,1700 m,playback-used:no,96000 (bps),mp3,both,,124842,https://www.xeno-canto.org/124842,United States,Richard E. Webster,Empidonax hammondii_Hammond's Flycatcher,-119.8423,0-3(s),?,Richard E. Webster,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,hamfly/XC124842.npy,44
2.0,no,btnwar,2 (stereo),2013-07-16,both,72,XC143939.mp3,level,Black-throated Green Warbler,7-20,XC143939 Black-throated Green Warbler (Setophaga virens),[],no,Setophaga virens," Curtis S. Read Scout Reservation, Brant Lake, New York",43.6764,44100 (Hz),song,? m,The first time I've seen one of these near here in about 3 years.,128000 (bps),mp3,increasing,,143939,https://www.xeno-canto.org/143939,United States,Daniel Parker,Setophaga virens_Black-throated Green Warbler,-73.7494,0-3(s),6:00,Daniel Parker,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,btnwar/XC143939.npy,19
5.0,no,hergul,2 (stereo),2019-07-20,Not specified,32,XC488423.mp3,Not specified,European Herring Gull,Not specified,XC488423 European Herring Gull (Larus argentatus),[],yes,Larus argentatus," Whitehaven, Cumbria, England",54.5486,44100 (Hz),begging call,10 m,"Begging calls from two fledged juveniles directed toward an adult, presumably a parent bird. High pass filter applied below 2kHz.",192313 (bps),mp3,Not specified,,488423,https://www.xeno-canto.org/488423,United Kingdom,Harry Hussey,Larus argentatus_Herring Gull,-3.592,Not specified,19:03,Harry Hussey,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,hergul/XC488423.npy,45
5.0,no,rewbla,1 (mono),2019-06-16,Not specified,35,XC483622.mp3,Not specified,Red-winged Blackbird,Not specified,XC483622 Red-winged Blackbird (Agelaius phoeniceus),[],yes,Agelaius phoeniceus," Cape Cod (near  Barnstable), Barnstable County, Massachusetts",41.64,44100 (Hz),"call, female, male",0 m,Three calls from male along with female chirps.,128000 (bps),mp3,Not specified,,483622,https://www.xeno-canto.org/483622,United States,Barry Edmonston,Agelaius phoeniceus_Red-winged Blackbird,-70.3327,Not specified,13:30,Barry Edmonston,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,rewbla/XC483622.npy,76
3.0,no,brnthr,1 (mono),2014-05-22,Not specified,73,XC182069.mp3,Not specified,Brown Thrasher,Not specified,XC182069 Brown Thrasher (Toxostoma rufum),[],yes,Toxostoma rufum," Humboldt, SK",52.199,48000 (Hz),song,550 m,,128000 (bps),mp3,Not specified,,182069,https://www.xeno-canto.org/182069,Canada,Ian Cruickshank,Toxostoma rufum_Brown Thrasher,-105.0997,Not specified,08:30,Ian Cruickshank,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,brnthr/XC182069.npy,18
2.5,no,canwar,2 (stereo),2015-06-22,Not specified,75,XC253573.mp3,Not specified,Canada Warbler,Not specified,XC253573 Canada Warbler (Cardellina canadensis),"['Catharus fuscescens_Veery', 'Parkesia noveboracensis_Northern Waterthrush']",no,Cardellina canadensis," Carlisle Swamp, Estabrook Woods, Middlesex County, Massachusetts",42.5012,44100 (Hz),song,60 m,"During survey for Canada Warbler territories in Carlisle Swamp, Estabrook Woods, Concord, MA, June 22, 2015. CAWA here is one of three, and the southmost individual. Recorded within the swamp, standing in water within dense understory with view only of some sky.",256000 (bps),mp3,Not specified,Veery (Catharus fuscescens); Northern Waterthrush (Parkesia noveboracensis),253573,https://www.xeno-canto.org/253573,United States,David Swain,Cardellina canadensis_Canada Warbler,-71.3454,Not specified,10:00,David Swain,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,canwar/XC253573.npy,26
4.5,no,mallar3,2 (stereo),2018-09-15,Not specified,14,XC436407.mp3,Not specified,Mallard,Not specified,XC436407 Mallard (Anas platyrhynchos),"['Erithacus rubecula_European Robin', 'Fulica atra_Eurasian Coot']",yes,Anas platyrhynchos," Genneper Parken, Eindhoven, Noord-Brabant",51.4213,44100 (Hz),"call, female, male",20 m,,128000 (bps),mp3,Not specified,European Robin (Erithacus rubecula); Eurasian Coot (Fulica atra),436407,https://www.xeno-canto.org/436407,Netherlands,Jorge Leitão,Anas platyrhynchos_Mallard,5.4732,Not specified,11:12,Jorge Leitão,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,mallar3/XC436407.npy,59
2.5,no,olsfly,2 (stereo),2015-06-12,Not specified,19,XC252872.mp3,Not specified,Olive-sided Flycatcher,Not specified,XC252872 Olive-sided Flycatcher (Contopus cooperi),"['Leiothlypis ruficapilla_Nashville Warbler', 'Setophaga pensylvanica_Chestnut-sided Warbler', 'Catharus fuscescens_Veery', 'Zonotrichia albicollis_White-throated Sparrow', 'Empidonax alnorum_Alder Flycatcher']",yes,Contopus cooperi," Algonquin Highlands, Haliburton County, Ontario",45.3881,44100 (Hz),song,400 m,Singing from top of tree in spruce bog adjacent to road and creek.,128000 (bps),mp3,Not specified,Nashville Warbler (Leiothlypis ruficapilla); Chestnut-sided Warbler (Setophaga pensylvanica); Veery (Catharus fuscescens); White-throated Sparrow (Zonotrichia albicollis); Alder Flycatcher (Empidonax alnorum),252872,https://www.xeno-canto.org/252872,Canada,Iain,Contopus cooperi_Olive-sided Flycatcher,-78.7314,Not specified,07:00,Iain,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,olsfly/XC252872.npy,66
2.0,no,evegro,2 (stereo),2015-11-28,Not specified,24,XC292469.mp3,Not specified,Evening Grosbeak,Not specified,XC292469 Evening Grosbeak (Hesperiphona vespertina),[],yes,Hesperiphona vespertina," Hurkey Creek Campground, San Jacinto Mountains, Riverside County, California",33.678,44100 (Hz),flight call,1300 m,"Flight call type 1: the calls are an excellent match for examples in Sewell et al. 2004.

Recorded in an open forest with Ponderosa pine, Coulter pine, canyon live oak, willows, scattered great basin sage, and other low plants.  In a public campground.  The birds were vocalizing from high in the ponderosas, althoug we also saw them on low bushes and feeding on the ground.

Equipment: Olympus LS-10S, Sennheiser ME62 microphone, and a Telinga 22 inch dish.
Modifications to the file: cropped.",128000 (bps),mp3,Not specified,,292469,https://www.xeno-canto.org/292469,United States,Lance A. M. Benner,Coccothraustes vespertinus_Evening Grosbeak,-116.682,Not specified,13:44,Lance A. M. Benner,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,evegro/XC292469.npy,39
1.0,no,evegro,2 (stereo),2015-11-28,Not specified,36,XC292472.mp3,Not specified,Evening Grosbeak,Not specified,XC292472 Evening Grosbeak (Hesperiphona vespertina),[],no,Hesperiphona vespertina," Hurkey Creek Campground, San Jacinto Mountains, Riverside County, California",33.678,48000 (Hz),"call, flight call",1300 m,"Type 1.  Recorded in an open forest in a public campground with Ponderosa pine, Coulter pine, incense cedar, aspen, willows, and canyon live oak.  The birds were high in Ponderosa pines.

Identified by voice.

Equipment: Olympus LS-10S, Sennheiser ME62 microphone, and a Telinga 22 inch parabolic dish.
Modifications to the file: cropped.",128000 (bps),mp3,Not specified,,292472,https://www.xeno-canto.org/292472,United States,Lance A. M. Benner,Coccothraustes vespertinus_Evening Grosbeak,-116.682,Not specified,13:37,Lance A. M. Benner,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,evegro/XC292472.npy,39
3.0,no,robgro,1 (mono),2016-05-10,Not specified,94,XC361016.mp3,Not specified,Rose-breasted Grosbeak,Not specified,XC361016 Rose-breasted Grosbeak (Pheucticus ludovicianus),[],yes,Pheucticus ludovicianus," Paint Creek Trail--Adams to Kern, Oakland County, Michigan",42.7604,44100 (Hz),song,280 m,"Editing: High-pass filter, cutoff frequency 1kHz, some amplification.

Equipment: Olympus WS-822 digital recorder with Audio-technica ATR 6550 shotgun.",192000 (bps),mp3,Not specified,,361016,https://www.xeno-canto.org/361016,United States,Antonio Xeira,Pheucticus ludovicianus_Rose-breasted Grosbeak,-83.2083,Not specified,08:00,Antonio Xeira,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,robgro/XC361016.npy,77
1.5,no,evegro,2 (stereo),2016-04-29,decreasing,36,XC314198.mp3,level,Evening Grosbeak,1-3,XC314198 Evening Grosbeak (Hesperiphona vespertina),"['Streptopelia decaocto_Eurasian Collared-Dove', ""Haemorhous cassinii_Cassin's Finch"", 'Haemorhous mexicanus_House Finch', 'Corvus brachyrhynchos_American Crow']",yes,Hesperiphona vespertina," Logan, Cache County, Utah",41.7345,48000 (Hz),"call, male",1400 m,"Recording not modified. Flock of 5 Evening Grosbeaks (3 males, 2 females) perched in a large crack willow in my front yard. Feeding on catkins and on nearby Box Elder samaras. Overcast. I heard and saw both males and females making these Type 1 calls, but I only got a good recording of this one bird. eBird checklist: http://ebird.org/ebird/view/checklist?subID=S29282441",128042 (bps),mp3,level,Eurasian Collared Dove (Streptopelia decaocto); Cassin's Finch (Haemorhous cassinii); House Finch (Haemorhous mexicanus); American Crow (Corvus brachyrhynchos),314198,https://www.xeno-canto.org/314198,United States,Andrew Durso,Coccothraustes vespertinus_Evening Grosbeak,-111.8412,0-3(s),11:36,Andrew Durso,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,evegro/XC314198.npy,39
3.0,no,evegro,1 (mono),2012-03-31,Not specified,26,XC164553.mp3,Not specified,Evening Grosbeak,Not specified,XC164553 Evening Grosbeak (Hesperiphona vespertina),[],no,Hesperiphona vespertina," Crested Butte, Gunnison County, Colorado",38.8698,48000 (Hz),call,2700 m,heard them in the small town,128000 (bps),mp3,Not specified,,164553,https://www.xeno-canto.org/164553,United States,Paul Marvin,Coccothraustes vespertinus_Evening Grosbeak,-106.9859,Not specified,12:32,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,evegro/XC164553.npy,39
3.0,no,annhum,2 (stereo),2018-11-21,Not specified,53,XC462769.mp3,Not specified,Anna's Hummingbird,Not specified,XC462769 Anna's Hummingbird (Calypte anna),[],yes,Calypte anna," 2310 North Wygant Street, North Portland, Multnomah County, Oregon",45.5575,44100 (Hz),call,60 m,Recording amplified. High pass filter.,192000 (bps),mp3,Not specified,,462769,https://www.xeno-canto.org/462769,United States,Thomas Magarian,Calypte anna_Anna's Hummingbird,-122.6912,Not specified,11:08,Thomas Magarian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,annhum/XC462769.npy,5
2.5,no,hamfly,2 (stereo),2016-12-17,level,19,XC346425.mp3,level,Hammond's Flycatcher,1-3,XC346425 Hammond's Flycatcher (Empidonax hammondii),['Junco hyemalis_Dark-eyed Junco'],yes,Empidonax hammondii," Sycamore Reservoir, Pima County, Arizona",32.3493,44100 (Hz),alarm call,1300 m,The bird was viewed in binoculars prior to recording.  Once I started pishing I got a lot of attention from Dark-eyed Juncos.  It flicked it's tail a lot also.  The recording was not modified at all.,128000 (bps),mp3,level,Dark-eyed Junco (Junco hyemalis),346425,https://www.xeno-canto.org/346425,United States,Janine McCabe,Empidonax hammondii_Hammond's Flycatcher,-110.7461,0-3(s),12:00,Janine McCabe,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,hamfly/XC346425.npy,44
